CISP,AISP,ano,mcirc,ocorrencias,qtde
10,2,2019,3304557,roubo_rua,1264
10,2,2019,3304557,roubo_veiculo,142
10,2,2019,3304557,sequestro,0
10,2,2019,3304557,sequestro_relampago,1
10,2,2019,3304557,trafico_drogas,16
10,2,2020,3304557,aaapai,66
10,2,2020,3304557,ameaca,227
10,2,2020,3304557,apf,218
10,2,2020,3304557,apreensao_drogas,25
10,2,2020,3304557,apreensao_drogas_sem_autor,1
10,2,2020,3304557,cmba,5
10,2,2020,3304557,cmp,37
10,2,2020,3304557,cvli,6
10,2,2020,3304557,encontro_cadaver,5
10,2,2020,3304557,encontro_ossada,0
10,2,2020,3304557,estelionato,993
10,2,2020,3304557,estupro,17
10,2,2020,3304557,extorsao,22
10,2,2020,3304557,furto_bicicleta,122
10,2,2020,3304557,furto_celular,351
10,2,2020,3304557,furto_coletivo,143
10,2,2020,3304557,furto_transeunte,177
10,2,2020,3304557,furto_veiculos,143
10,2,2020,3304557,hom_culposo,10
10,2,2020,3304557,hom_doloso,6
10,2,2020,3304557,hom_por_interv_policial,0
10,2,2020,3304557,latrocinio,0
10,2,2020,3304557,lesao_corp_culposa,127
10,2,2020,3304557,lesao_corp_dolosa,209
10,2,2020,3304557,lesao_corp_morte,0
10,2,2020,3304557,letalidade_violenta,6
10,2,2020,3304557,pessoas_desaparecidas,28
10,2,2020,3304557,pol_civis_mortos_serv,0
10,2,2020,3304557,pol_militares_mortos_serv,0
10,2,2020,3304557,posse_drogas,16
10,2,2020,3304557,recuperacao_veiculos,27
10,2,2020,3304557,roubo_apos_saque,6
10,2,2020,3304557,roubo_banco,0
10,2,2020,3304557,roubo_bicicleta,14
10,2,2020,3304557,roubo_carga,3
10,2,2020,3304557,roubo_celular,141
10,2,2020,3304557,roubo_comercio,84
10,2,2020,3304557,roubo_conducao_saque,1
10,2,2020,3304557,roubo_cx_eletronico,0
10,2,2020,3304557,roubo_em_coletivo,45
10,2,2020,3304557,roubo_residencia,3
10,2,2020,3304557,roubo_rua,570
10,2,2020,3304557,roubo_veiculo,85
10,2,2020,3304557,sequestro,0
10,2,2020,3304557,sequestro_relampago,2
10,2,2020,3304557,trafico_drogas,8
10,2,2021,3304557,aaapai,136
10,2,2021,3304557,ameaca,302
10,2,2021,3304557,apf,339
10,2,2021,3304557,apreensao_drogas,83
10,2,2021,3304557,apreensao_drogas_sem_autor,0
10,2,2021,3304557,cmba,4
10,2,2021,3304557,cmp,44
10,2,2021,3304557,cvli,2
10,2,2021,3304557,encontro_cadaver,4
10,2,2021,3304557,encontro_ossada,0
10,2,2021,3304557,estelionato,1530
10,2,2021,3304557,estupro,20
10,2,2021,3304557,extorsao,36
10,2,2021,3304557,furto_bicicleta,99
10,2,2021,3304557,furto_celular,601
10,2,2021,3304557,furto_coletivo,180
10,2,2021,3304557,furto_transeunte,207
10,2,2021,3304557,furto_veiculos,172
10,2,2021,3304557,hom_culposo,11
10,2,2021,3304557,hom_doloso,2
10,2,2021,3304557,hom_por_interv_policial,0
10,2,2021,3304557,latrocinio,0
10,2,2021,3304557,lesao_corp_culposa,195
10,2,2021,3304557,lesao_corp_dolosa,211
10,2,2021,3304557,lesao_corp_morte,0
10,2,2021,3304557,letalidade_violenta,2
10,2,2021,3304557,pessoas_desaparecidas,14
10,2,2021,3304557,pol_civis_mortos_serv,0
10,2,2021,3304557,pol_militares_mortos_serv,0
10,2,2021,3304557,posse_drogas,55
10,2,2021,3304557,recuperacao_veiculos,21
10,2,2021,3304557,roubo_apos_saque,6
10,2,2021,3304557,roubo_banco,0
10,2,2021,3304557,roubo_bicicleta,33
10,2,2021,3304557,roubo_carga,7
10,2,2021,3304557,roubo_celular,171
10,2,2021,3304557,roubo_comercio,79
10,2,2021,3304557,roubo_conducao_saque,1
10,2,2021,3304557,roubo_cx_eletronico,2
10,2,2021,3304557,roubo_em_coletivo,52
10,2,2021,3304557,roubo_residencia,7
10,2,2021,3304557,roubo_rua,562
10,2,2021,3304557,roubo_veiculo,90
10,2,2021,3304557,sequestro,0
10,2,2021,3304557,sequestro_relampago,0
10,2,2021,3304557,trafico_drogas,29
10,2,2022,3304557,aaapai,53
10,2,2022,3304557,ameaca,171
10,2,2022,3304557,apf,149
10,2,2022,3304557,apreensao_drogas,30
10,2,2022,3304557,apreensao_drogas_sem_autor,1
10,2,2022,3304557,cmba,4
10,2,2022,3304557,cmp,30
10,2,2022,3304557,cvli,2
10,2,2022,3304557,encontro_cadaver,8
10,2,2022,3304557,encontro_ossada,0
10,2,2022,3304557,estelionato,1269
10,2,2022,3304557,estupro,27
10,2,2022,3304557,extorsao,27
10,2,2022,3304557,furto_bicicleta,114
10,2,2022,3304557,furto_celular,604
10,2,2022,3304557,furto_coletivo,159
10,2,2022,3304557,furto_transeunte,149
10,2,2022,3304557,furto_veiculos,106
10,2,2022,3304557,hom_culposo,7
10,2,2022,3304557,hom_doloso,2
10,2,2022,3304557,hom_por_interv_policial,0
10,2,2022,3304557,latrocinio,0
10,2,2022,3304557,lesao_corp_culposa,118
10,2,2022,3304557,lesao_corp_dolosa,154
10,2,2022,3304557,lesao_corp_morte,0
10,2,2022,3304557,letalidade_violenta,2
10,2,2022,3304557,pessoas_desaparecidas,23
10,2,2022,3304557,pol_civis_mortos_serv,0
10,2,2022,3304557,pol_militares_mortos_serv,0
10,2,2022,3304557,posse_drogas,26
10,2,2022,3304557,recuperacao_veiculos,11
10,2,2022,3304557,roubo_apos_saque,2
10,2,2022,3304557,roubo_banco,0
